TIME,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Belgium,100.79,105.88,:,97.84,:,92.24,90.02,92.17,90.09,:
Bulgaria,129.56,121.27,108.62,102.86,102.67,98.4,94.34,92.11,89.92,84.91
Czechia,215.55,158.28,177.49,198,213.01,209.47,203.36,197.64,180.35,175.19
Denmark,68.61,73.02,63.67,56.59,59.71,59.46,62.88,67.52,71.55,72.29
Germany,85.32,82.24,78.28,77.61,78.24,79.79,79.43,76.06,71.65,69.18
Estonia,247.96,228.98,230.58,214.7,217.64,206.97,195.89,187.72,178.03,164.58
Ireland,93.55,89.04,82.01,81.12,78.67,76.92,82.02,81.91,76.75,76.02
Greece,112.53,115.35,107.97,88.52,88.65,92.97,99.19,101.55,106.16,103.29
Spain,146.52,142.88,139.78,132.65,128.31,126.4,126.2,124.67,116.58,116.24
France,101.98,102.25,100.5,100.29,102.5,103.25,104.69,105.3,92.9,102.65
Croatia,110.88,102.11,88.61,79.07,74.16,76.79,78.36,86.67,87.01,96.75
Italy,112.98,106.97,90.07,87.85,92.27,97.44,101.07,104.04,91.56,93.44
Cyprus,78.65,63.87,62,64.58,69.08,69.26,71.62,86.65,67.68,88.73
Latvia,299.15,253.78,237.08,221.99,215.49,193.07,182.07,177.82,162.71,168.13
Lithuania,323.91,311.62,293.4,251.77,235.93,231.71,230.87,219.67,190.4,181.92
Luxembourg,126.89,122.15,113.88,122.74,125.64,115.8,108.97,96.76,88.96,99.25
Hungary,172.97,180.05,181.12,177.05,179.62,177.01,166.73,167.14,171.47,191.38
Malta,140.1,145.95,136.58,129.41,122.78,128.4,133.49,152.77,167.91,118.97
Netherlands,80.53,75.81,70.91,64.2,62.44,63.66,65.48,68.15,63.33,64.71
Austria,104.72,104.85,102.18,101.03,99.18,100.9,103.86,102.41,95.36,94.44
Poland,224.52,210.61,208.7,191.27,190.19,196.14,191.74,196.49,180.08,190.99
Portugal,131.61,138.6,136.16,138.54,134.58,131.79,126.53,125.99,111.71,113.65
Romania,158.33,167,151.18,142.59,138.94,119.37,106.46,105.99,112.54,119.72
Slovenia,66.99,66.06,73.84,67.82,63.37,:,65.12,67.09,69.14,53.86
Slovakia,200.77,180.25,185.01,182.85,184.2,184.5,189.12,193.65,192.73,185.06
Finland,61.21,60.72,57.75,57.29,57.51,56,53.62,53.37,49.79,50.8
Sweden,66.39,59.89,60.21,58.39,57.44,57.16,60.41,65.68,70.66,74.92
Iceland,47.88,45.67,47.29,42.24,34.88,40.49,39.03,44.26,38.72,38.5
Liechtenstein,164.5,184.59,142.75,141.84,191.38,193.07,165.29,112.04,147.11,133.15
Norway,81.27,76.59,80.33,78.51,80.45,79.19,71.59,66.83,65.82,67.72
Switzerland,76.71,82.75,80.09,78.88,78.14,77.96,77.82,76.87,71.84,70.51
England and Wales,150.59,144.27,146.35,146.42,143.78,144.19,138.91,:,:,:
Scotland,151.84,148.38,144.84,144.57,140.64,137.34,:,:,:,:
Northern Ireland (UK),92.47,98.32,93.02,78.34,75.7,75.59,:,:,:,:
Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:
Montenegro,214.57,171.37,180.69,181.8,180.48,179.79,180.76,175.19,130.25,148.21
North Macedonia,:,:,:,:,155.99,146.16,:,:,:,:
Albania,:,:,196.45,206.79,208.97,197.25,185.21,176.25,162.12,175.14
Serbia,141.7,139.68,143.95,141.46,150.81,153.5,155.27,159.07,152.16,153.63
Türkiye,182.03,192.35,207.91,229.43,254.92,292.45,327.73,355.53,322.15,356.23
Kosovo*,:,:,:,:,93.02,95.82,87.13,100.58,78.33,:
