Country Name,Country Code,Series Name,Series Code,Pop
Afghanistan,AFG,"Population, total",SP.POP.TOTL,41128771
Albania,ALB,"Population, total",SP.POP.TOTL,2775634
Algeria,DZA,"Population, total",SP.POP.TOTL,44903225
American Samoa,ASM,"Population, total",SP.POP.TOTL,44273
Andorra,AND,"Population, total",SP.POP.TOTL,79824
Angola,AGO,"Population, total",SP.POP.TOTL,35588987
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,93763
Argentina,ARG,"Population, total",SP.POP.TOTL,46234830
Armenia,ARM,"Population, total",SP.POP.TOTL,2780469
Aruba,ABW,"Population, total",SP.POP.TOTL,106445
Australia,AUS,"Population, total",SP.POP.TOTL,25978935
Austria,AUT,"Population, total",SP.POP.TOTL,9042528
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,10175016
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,409984
Bahrain,BHR,"Population, total",SP.POP.TOTL,1472233
Bangladesh,BGD,"Population, total",SP.POP.TOTL,171186372
Barbados,BRB,"Population, total",SP.POP.TOTL,281635
Belarus,BLR,"Population, total",SP.POP.TOTL,9208701
Belgium,BEL,"Population, total",SP.POP.TOTL,11669446
Belize,BLZ,"Population, total",SP.POP.TOTL,405272
Benin,BEN,"Population, total",SP.POP.TOTL,13352864
Bermuda,BMU,"Population, total",SP.POP.TOTL,63532
Bhutan,BTN,"Population, total",SP.POP.TOTL,782455
Bolivia,BOL,"Population, total",SP.POP.TOTL,12224110
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3233526
Botswana,BWA,"Population, total",SP.POP.TOTL,2630296
Brazil,BRA,"Population, total",SP.POP.TOTL,215313498
British Virgin Islands,VGB,"Population, total",SP.POP.TOTL,31305
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,449002
Bulgaria,BGR,"Population, total",SP.POP.TOTL,6465097
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,22673762
Burundi,BDI,"Population, total",SP.POP.TOTL,12889576
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,593149
Cambodia,KHM,"Population, total",SP.POP.TOTL,16767842
Cameroon,CMR,"Population, total",SP.POP.TOTL,27914536
Canada,CAN,"Population, total",SP.POP.TOTL,38929902
Cayman Islands,CYM,"Population, total",SP.POP.TOTL,68706
Central African Republic,CAF,"Population, total",SP.POP.TOTL,5579144
Chad,TCD,"Population, total",SP.POP.TOTL,17723315
Channel Islands,CHI,"Population, total",SP.POP.TOTL,174079
Chile,CHL,"Population, total",SP.POP.TOTL,19603733
